Tarihler,Veri
1961,"1,156069364"
1962,"5,571428571"
1963,"9,066305819"
1964,"5,459057072"
1965,"2,823529412"
1966,"11,21281465"
1967,"4,732510288"
1968,"6,777996071"
1969,"4,081145585"
1970,"3,233509134"
1971,"5,566694605"
1972,"7,425788406"
1973,"3,262334298"
1974,"5,594474568"
1975,"7,174112457"
1976,"10,46117953"
1977,"3,406670106"
1978,"1,502932695"
1979,"-0,624113366"
1980,"-2,447350352"
1981,"4,85664864"
1982,"3,563227763"
1983,"4,971080909"
1984,"6,712015768"
1985,"4,241335574"
1986,"7,012031153"
1987,"9,485538792"
1988,"2,320736798"
1989,"0,290244067"
1990,"9,26614667"
1991,"0,720279047"
1992,"5,035634937"
1993,"7,651265191"
1994,"-4,668147359"
1995,"7,878266876"
1996,"7,379664476"
1997,"7,577663648"
1998,"2,30821343"
1999,"-3,36534395"
2000,"6,774455299"
2001,"-5,69747647"
2002,"6,163839636"
2003,"5,265265357"
2004,"9,362807563"
2005,"8,401617853"
2006,"6,893489354"
2007,"4,668579363"
2008,"0,658838503"
2009,"-4,825875224"
2010,"9,156952929"
2011,"8,772747566"
2012,"2,127460613"
2013,"4,04968709"
